,name,type,identifier
54,ATP,chemical,['CHEBI:30616']
55,-hydroxybutyrate,chemical,['CHEBI:17290']
56,glucose,chemical,['CHEBI:42758']
57,hypoketonemia,disease,['mesh:D007008']
58,glutamine,chemical,['mesh:D005973']
59,alanine,chemical,['mesh:D000409']
60,Aromatase,gene,['NCBIGene:1588']
61,impaired fertility,disease,['mesh:D007246']
62,steroid,chemical,['mesh:D013256']
63,steroid and thyroid hormone receptors,gene,['NCBIGene:3164']
64,cholesterol,chemical,['mesh:D002784']
65,irregularities of the ovarian cycle,disease,['mesh:D008599']
66,ER,gene,"['NCBIGene:2099', '2069']"
67,Hepatic Nuclear Receptors,gene,['NCBIGene:190']
68,Developmental Hearing Loss,disease,['mesh:D034381']
69,ototoxicity,disease,['mesh:D000081015']
70,polychlorinated biphenyls,chemical,['CHEBI:53156']
71,low-frequency hearing loss,disease,['mesh:D006313']
72,PCB,chemical,['CHEBI:47136']
73,hypothyroxinemia,disease,['mesh:D006981']
74,functional auditory impairment,disease,['mesh:D006311']
75,AhR,gene,['NCBIGene:196']
76,CAR,gene,['NCBIGene:653108']
77,PHAHs,chemical,['CHEBI:53387']
78,GABA,chemical,['mesh:D005680']
79,GABA receptors,gene,"['NCBIGene:2569', '200959']"
80,epileptic seizures,disease,['mesh:D004827']
81,iGABA receptor,gene,['NCBIGene:973']
82,seizures,disease,['mesh:D012640']
83,picrotoxin,chemical,['mesh:D010852']
84,chloride,chemical,['CHEBI:15767']
85,Ca2+,chemical,['CHEBI:29108']
86,Na+,chemical,['CHEBI:29101']
87,K+,chemical,['CHEBI:29103']
88,Cl,chemical,['CHEBI:30120']
89,iGABARs,gene,['NCBIGene:50945']
90,picrotoxin site,gene,['NCBIGene:27445']
91,iGABAR,gene,['NCBIGene:6418']
92,GABAA receptor,gene,['NCBIGene:2550']
93,GABAC receptor,gene,['NCBIGene:200959']
94,insect iGABARs,gene,['NCBIGene:11188']
95,bicuculline,chemical,['mesh:D001640']
96,benzodiazepines,chemical,['mesh:D001569']
97,barbiturates,chemical,['mesh:D001463']
98,death,disease,['mesh:D003643']
99,metabotropic G-protein-coupled receptors,gene,['NCBIGene:2911']
100,mGABAR,gene,['NCBIGene:706']
101,GABAB receptors,gene,['NCBIGene:165829']
102,absence epilepsy,disease,"['mim:600131', 'mesh:D004832']"
103,N-methyl-D-aspartate,chemical,['mesh:D016202']
104,N-methyl-D-aspartate receptors,gene,['NCBIGene:2902']
105,impairment in learning and memory,disease,['mesh:D008569']
106,amyloid plaque,disease,['mesh:D058225']
107,tau,gene,['NCBIGene:4137']
108,Alzheimers disease,disease,"['mesh:D000544', 'mim:104300']"
109,cognitive deficits,disease,['mesh:D003072']
110,Pb,chemical,['CHEBI:53319']
111,impairment of,disease,['mesh:D010900']
112,N-methyl-D,chemical,['CHEBI:31882']
113,aspartate,chemical,['mesh:D001224']
114,glutamate,chemical,['mesh:D018698']
115,NMDAR 2A and 2B subunits,gene,['NCBIGene:2903']
116,brain derived neurotrophic factor,gene,['NCBIGene:627']
117,developmental neurotoxicity,disease,['mesh:D065886']
118,DNT,disease,['mesh:D009436']
119,Pb2+,chemical,['CHEBI:49807']
120,Glucocorticoid Receptor,gene,['NCBIGene:2908']
121,autism,disease,"['mim:209850', 'mesh:D001321']"
122,schizophrenia,disease,"['mim:181500', 'mesh:D012559']"
123,intellectual disability,disease,['mesh:D008607']
124,nucleotides,chemical,['mesh:D009711']
125,embryonic or fetal lethality,disease,['mesh:D020964']
126,inherited genetic disorders,disease,['mesh:D030342']
127,methyl,chemical,['CHEBI:32875']
128,Acetylcholinesterase,gene,['NCBIGene:43']
129,acetylcholine,chemical,['mesh:D000109']
130,Respiratory failure,disease,['mesh:D012131']
131,SH,chemical,['CHEBI:73651']
132,thiol,chemical,['mesh:D013438']
133,seleno,chemical,['CHEBI:16503']
134,Oxidative stress,disease,['mesh:D003681']
135,Developmental impairment in learning and memory,disease,['mesh:D007859']
136,sulfhydryl,chemical,['CHEBI:29917']
137,SH-/ seleno-proteins,gene,['NCBIGene:55829']
138,Oxygen,chemical,['mesh:D010100']
139,mercury,chemical,['mesh:D008628']
140,glutathione,chemical,['CHEBI:57925']
141,GSH,chemical,['mesh:D005978']
142,inflammation,disease,['mesh:D007249']
143,Brain inflammation,disease,['mesh:D004660']
144,malformation of,disease,['mesh:D000014']
145,AR,gene,"['NCBIGene:367', '231', '2232']"
146,Androgen,chemical,['mesh:D000728']
147,testosterone,chemical,['mesh:D013739']
148,5-alpha-dihydrotestosterone,chemical,['mesh:D013196']
149,cyproterone acetate,chemical,['mesh:D017373']
150,flutamide,chemical,['mesh:D005485']
151,aryl amide,chemical,['CHEBI:62733']
152,bicalutamide,chemical,['mesh:C053541']
153,linuron,chemical,['mesh:D008044']
154,hydantoin,chemical,['CHEBI:27612']
155,nilutamide,chemical,['mesh:C021277']
156,vinclozin,chemical,['mesh:C025643']
157,quinoline,chemical,['mesh:C037219']
158,phthalimide,chemical,['mesh:C037431']
159,anilides,chemical,['mesh:D000813']
160,nipple retention,disease,['mesh:D007775']
161,metribolone,chemical,['mesh:D015741']
162,mibolerone,chemical,['mesh:C100075']
163,reproductive dysfunction,disease,['mesh:D005831']
164,Calcium,chemical,['mesh:D002118']
165,calcium ATPase,gene,"['NCBIGene:491', '492']"
166,Cholestatic Liver Injury,disease,['mesh:D041781']
167,Bile Salt,chemical,['mesh:D001647']
168,ABCB11,gene,['NCBIGene:8647']
169,Cholestatic Liver,disease,['mesh:D002779']
170,Cyclooxygenase,gene,['NCBIGene:5742']
171,Estrogen,chemical,['mesh:D004967']
172,vitellogenin,gene,['NCBIGene:7350']
173,VTG,gene,['NCBIGene:246319']
174,iron,chemical,['mesh:D007501']
175,hemoglobin,gene,['NCBIGene:114757']
176,hematotoxicity,disease,['mesh:D006402']
177,aniline,chemical,['mesh:C023650']
178,"2,4,6-trinitrotoluene",chemical,['mesh:D014303']
179,"2,4-",chemical,['CHEBI:30772']
180,dinitrotoluene,chemical,['CHEBI:23822']
181,"2,4-DNT",chemical,['CHEBI:920']
182,heme,chemical,['mesh:D006418']
183,Iron(II),chemical,['CHEBI:29033']
184,Iron(III),chemical,['CHEBI:29034']
185,methemoglobinemia,disease,['mesh:D008708']
186,Heinz body,disease,['mesh:D014608']
187,cyanosis,disease,['mesh:D003490']
188,methemoglobin,gene,['NCBIGene:3048']
189,hemosiderosis,disease,['mesh:D006486']
190,anemic,disease,['mesh:D000740']
191,Glucose-6-phosphate,chemical,['mesh:D019298']
192,Glucose-6-phosphate dehydrogenase,gene,['NCBIGene:2539']
193,NADPH,chemical,['CHEBI:57783']
194,N-hydroxyl anilines,chemical,['mesh:D000627']
195,iNOS,gene,['NCBIGene:4843']
196,liver tumors,disease,['mesh:D008113']
197,Thiamethoxam,chemical,['mesh:D000077922']
198,neonicotinoid,chemical,['mesh:D000073943']
199,Tif,gene,['NCBIGene:7301']
200,MAGf,gene,['NCBIGene:84803']
201,CGA 322704,chemical,['CHEBI:73178']
202,CGA 330050,chemical,['CHEBI:39299']
203,CGA 265307,chemical,['mesh:C471807']
204,nitric oxide,chemical,['mesh:D009569']
205,nitric oxide synthases,gene,['NCBIGene:4842']
206,thiamethoxams,chemical,['CHEBI:39185']
207,Kidney,disease,['mesh:D007674']
208,5HT2C,gene,['NCBIGene:3358']
209,LXR,gene,['NCBIGene:10062']
210,hepatic steatosis,disease,['mesh:D005234']
211,non-alcoholic fatty liver disease,disease,"['mesh:C541083', 'mim:613282']"
212,advanced fibrosis,disease,['mesh:D005355']
213,end-stage liver disease,disease,['mesh:D058625']
214,very low-density lipoprotein,gene,['NCBIGene:7436']
215,triglycerides,chemical,['mesh:D014280']
216,PPAR gamma,gene,['NCBIGene:5468']
217,carbohydrate,chemical,['mesh:D002241']
218,ChREBP,gene,['NCBIGene:51085']
219,sterol,chemical,['mesh:D013261']
220,sterol response element binding protein 1c,gene,['NCBIGene:51474']
221,SREBP-1c,gene,['NCBIGene:6720']
222,FAT,gene,['NCBIGene:948']
223,fatty acid synthase,gene,['NCBIGene:2194']
224,FAS,gene,"['NCBIGene:355', '2194']"
225,stearoyl-CoA,chemical,['mesh:C017725']
226,stearoyl-CoA desaturase 1,gene,['NCBIGene:6319']
227,necrosis,disease,['mesh:D009336']
228,Narcosis,disease,['mesh:D053608']
229,hepatocellular adenomas,disease,['mesh:D018248']
230,carcinomas,disease,['mesh:D002277']
231,phthalate ester,chemical,['CHEBI:35484']
232,DEHP,chemical,['mesh:D004051']
233,gemfibrozil,chemical,['mesh:D015248']
234,preneoplastic foci,disease,['mesh:D011230']
235,NF-kB,gene,['NCBIGene:4790']
236,PPARb/d,gene,['NCBIGene:5467']
237,retinoid X receptor,gene,['NCBIGene:6256']
238,9-cis-retinoic acid,chemical,['mesh:D000077556']
239,PPREs,gene,['NCBIGene:100528023']
240,TGF-1,gene,['NCBIGene:7040']
241,collagen,gene,['NCBIGene:1280']
242,chronic inflammation,disease,['mesh:D002908']
243,Skin Sensitisation,disease,['mesh:D012871']
244,allergic contact dermatitis,disease,['mesh:D017449']
245,contact hypersensitivity,disease,['mesh:D003877']
246,cysteine,chemical,['mesh:D003545']
247,lysine,chemical,['mesh:D008239']
248,major histocompatibility complex molecules,gene,['NCBIGene:3106']
249,dioxin,chemical,['mesh:D004147']
250,DLCs,chemical,['CHEBI:73430']
251,aryl hydrocarbon,chemical,['mesh:D006841']
252,indole-3-carbinol,chemical,['mesh:C016517']
253,hyperplasia,disease,['mesh:D006965']
254,cholangiolar carcinomas,disease,['mesh:D018281']
255,Thyroperoxidase,gene,['NCBIGene:7173']
256,THs,disease,"['mim:137580', 'mesh:D005879']"
257,TH insufficiency,disease,['mesh:D007037']
258,thyroid stimulating hormone,gene,['NCBIGene:7253']
259,TSH,gene,"['NCBIGene:10194', '79896']"
260,thyroid hormone insufficiency--neurological abnormalities,disease,['mesh:D018382']
261,propylthiouracil,chemical,['mesh:D011441']
262,ionotropic glutamate receptors,gene,['NCBIGene:2890']
263,alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropiona,chemical,['mesh:D018350']
264,kainate,chemical,['mesh:D007608']
265,KARs,gene,['NCBIGene:3735']
266,neurological disorders,disease,['mesh:D009422']
267,acute hypoxic-ischemic brain injury,disease,['mesh:D020925']
268,domoic acid,chemical,['mesh:C012301']
269,DomA,chemical,['CHEBI:27637']
270,glufosinate,chemical,['mesh:C003121']
271,GLF,chemical,['mesh:D020904']
272,memory loss,disease,['mesh:D000647']
273,methylphosphine,chemical,['CHEBI:35887']
274,DomA,gene,['NCBIGene:6663']
275,amino acids,chemical,['mesh:D000596']
276,ibotenic acid,chemical,['mesh:D007051']
277,homocysteine,chemical,['mesh:D006710']
278,polyamines,chemical,['mesh:D011073']
279,spermidine,chemical,['mesh:D013095']
280,renal failure,disease,['mesh:D051437']
281,Na+/I- symporter,gene,['NCBIGene:6528']
282,I,chemical,['CHEBI:30009']
283,thyroid hormones,chemical,['mesh:D013963']
284,iodide,chemical,['mesh:D007454']
285,NR1I3,gene,['NCBIGene:9970']
286,HNF4alpha,gene,['NCBIGene:3172']
287,Pregnane,chemical,['CHEBI:8386']
288,FXR,gene,['NCBIGene:9971']
289,AKT2,gene,['NCBIGene:208']
290,Adult Leydig Cell Dysfunction,disease,"['mim:238320', 'mesh:C562567']"
291,Sodium Iodide,chemical,['mesh:D012974']
292,Estradiaol,chemical,['mesh:C000654743']
293,Dopamine-beta-Hydroxylase,gene,['NCBIGene:1621']
294,Nicotinic acetylcholine receptor,gene,['NCBIGene:1134']
295,nAChR,gene,['NCBIGene:1137']
296,Glucose oxidase,gene,['NCBIGene:9563']
297,Sodium,chemical,['mesh:D012964']
298,anti-arrhythmics,disease,"['mim:115000', 'mesh:D001145']"
299,voltage-gated sodium channels,gene,['NCBIGene:6328']
300,NaV1,gene,['NCBIGene:89796']
301,tetrodotoxin,chemical,['mesh:D013779']
302,nicotinic acetylcholine receptors,gene,['NCBIGene:338442']
303,congenital malformations,disease,['mesh:D000013']
304,Ether-a-go-go,gene,['NCBIGene:3756']
305,ERG,gene,['NCBIGene:2078']
306,potassium,chemical,['mesh:D011188']
307,Ether,gene,['NCBIGene:1991']
308,pyrethroid,chemical,['CHEBI:8811']
309,ataxia,disease,['mesh:D001259']
310,paralysis,disease,['mesh:D010243']
311,5-hydroxytryptamine,chemical,['mesh:D012701']
312,5-hydroxytryptamine transporter,gene,['NCBIGene:6532']
313,fluoxetine,chemical,['mesh:D005473']
314,sertraline,chemical,['mesh:D020280']
315,serotonin,chemical,['CHEBI:350546']
316,foot detachement,disease,['mesh:D005534']
317,Foot detachment,disease,['mesh:D012163']
318,Histamine,chemical,['CHEBI:58432']
319,Histamine (H2) receptor,gene,['NCBIGene:3274']
320,impaired heart function,disease,['mesh:D006331']
321,Alpha2u-microglobulin,gene,['NCBIGene:567']
322,renal tubular adenomas,disease,['mesh:D007680']
323,2u-globulin,gene,['NCBIGene:6066']
324,pyruvate,chemical,['mesh:D019289']
325,pyruvate dehydrogenase kinase,gene,['NCBIGene:5163']
326,PDK,gene,['NCBIGene:5170']
327,bronchioloalveolar adenomas,disease,['mesh:D002282']
328,follicular cell adenomas,disease,['mesh:D000236']
329,Iodide pump,gene,['NCBIGene:160728']
330,Leydig cell tumors,disease,['mesh:D007984']
331,endometrial adenocarcinomas,disease,"['mim:608089', 'mesh:D016889']"
332,endometrial carcinoma,disease,['mesh:D018269']
333,GluCl,chemical,['mesh:D005913']
334,lactone,chemical,['mesh:D014307']
335,abermectin,chemical,['CHEBI:73285']
336,ivermectin,chemical,['mesh:D007559']
337,GluCl channel,gene,['NCBIGene:414328']
338,lactones,chemical,['mesh:D007783']
339,GluCl,gene,"['NCBIGene:2629', '57733', '2630']"
340,Cys,chemical,['CHEBI:32447']
341,Cys-loop ligand-gated ion channel superfamily,gene,['NCBIGene:353174']
342,river blindness,disease,['mesh:D015827']
343,lymphatic filariasis,disease,['mesh:D004605']
344,acaricides,disease,['mesh:D017109']
345,Abamectin,chemical,['mesh:C048324']
346,HPPD,gene,['NCBIGene:100682260']
347,corneal papillomas,disease,['mesh:D007642']
348,forestomach tumors,disease,"['mim:137215', 'mesh:D013274']"
349,5-reductase,gene,['NCBIGene:6715']
350,Urinary bladder calculi,disease,['mesh:D001744']
351,urothelial papillomas,disease,['mesh:D010212']
352,Urinary calculi,disease,['mesh:D014545']
353,Prolyl hydroxylase,gene,"['NCBIGene:112398', '100529264']"
354,HIF1 heterodimer,gene,['NCBIGene:29072']
355,Prolyl,chemical,['CHEBI:26274']
356,HIF-1alpha,gene,['NCBIGene:3091']
357,reprodl,disease,['mesh:D004194']
358,HMG-CoA,chemical,['mesh:C008047']
359,HMG-CoA reductase,gene,['NCBIGene:3156']
360,male fertility,disease,['mesh:D007248']
361,malformed reproductive tracts,disease,['mesh:D005832']
362,statins,chemical,['mesh:C086276']
363,cholesteron,chemical,['CHEBI:63906']
364,Phospholipase A2,gene,['NCBIGene:151056']
365,LPLA2,gene,['NCBIGene:23659']
366,DIPL,disease,['mesh:D004172']
367,lipid storage disorders,disease,['mesh:D008064']
368,phospholipidosis,disease,['mesh:D011649']
369,CADs,disease,['mesh:D003324']
370,lysosomal dysfunction,disease,['mesh:D016464']
371,lysosomal cell death,disease,['mesh:D001329']
372,uroporphyria,disease,"['mesh:D046351', 'mim:177000']"
373,Hepatic uroporphyria,disease,"['mesh:D017092', 'mim:263700']"
374,uroporphyrin,chemical,['CHEBI:27259']
375,heptacarboxyl- and hexacarboxyl porphyrin,chemical,['mesh:C042771']
376,carboxylated,chemical,['CHEBI:35757']
377,porphyrins,chemical,['mesh:D011166']
378,uroporphyrinogen,chemical,['mesh:D014577']
379,uroporphyrinogen decarboxylase,gene,['NCBIGene:7389']
380,porphyria,disease,['mesh:D011164']
381,cytochrome P450 1A2,gene,['NCBIGene:1544']
382,coprouroporphyrinogen,chemical,['CHEBI:15438']
383,HCP,chemical,['CHEBI:30664']
384,tetrapyrrole,chemical,['mesh:D045725']
385,porphyrin,chemical,['CHEBI:8337']
386,ferroprotein,gene,['NCBIGene:2235']
387,hemoproteins,gene,['NCBIGene:55363']
388,cytochromes,gene,['NCBIGene:5447']
389,catalases,gene,['NCBIGene:847']
390,porphyria cutanea tarda,disease,"['mim:176100', 'mesh:D017119']"
391,PCT,disease,['mesh:C566768']
392,alcohol,chemical,['CHEBI:16236']
393,hepatitis viruses,disease,['mesh:D006506']
394,HIV,disease,['mesh:D000163']
395,hemochromatosis,disease,"['mesh:D006432', 'mim:235200']"
396,TCDD,chemical,['mesh:D013749']
397,Hexachlorobenzene,chemical,['mesh:D006581']
398,hepatic porphyria,disease,['mesh:D017094']
399,sodium iodine,chemical,['CHEBI:33167']
400,iodine,chemical,['mesh:D007455']
401,THs,gene,['NCBIGene:7057']
402,Olfactory Epithelial Injury,disease,['mesh:D061219']
403,Nasal Tumors,disease,['mesh:D009669']
404,olfactory tumors,disease,['mesh:D018304']
405,atrophy,disease,['mesh:D001284']
406,Organic anion transporter,gene,['NCBIGene:9356']
407,EGFR,gene,['NCBIGene:1956']
408,mucin,gene,['NCBIGene:100508689']
409,mucus hypersecretion,disease,['mesh:D012798']
410,lung diseases,disease,['mesh:D008171']
411,asthma,disease,"['mim:600807', 'mesh:D001249']"
412,cystic fibrosis,disease,"['mim:219700', 'mesh:D003550']"
413,chronic bronchitis,disease,['mesh:D001991']
414,mucins,gene,['NCBIGene:4586']
415,chronic obstructive pulmonary disease,disease,"['mim:606963', 'mesh:D029424']"
416,respiratory muscle weakness,disease,['mesh:D012133']
417,Hypertension,disease,['mesh:D006973']
418,cardiovascular,disease,['mesh:D002318']
419,protein kinase B,gene,['NCBIGene:2185']
420,AKT,gene,['NCBIGene:207']
421,guanosine,chemical,['mesh:D006151']
422,GTPCH,chemical,['mesh:C046512']
423,GTPCH-1,gene,['NCBIGene:2643']
424,endothelial nitric oxide synthase,gene,['NCBIGene:4846']
425,GSSG,chemical,['mesh:D019803']
426,tetrahydrobiopterin,chemical,['mesh:C003402']
427,BH4,chemical,['CHEBI:30158']
428,superoxide,chemical,['mesh:D013481']
429,vasoconstriction,disease,['mesh:D007022']
430,nicotine,chemical,['mesh:D009538']
431,preeclampsia,disease,"['mesh:D011225', 'mim:189800']"
432,thyroid serum binding protein transthyretin,gene,['NCBIGene:7276']
433,thyroxine (T4,chemical,['mesh:D013974']
434,serum binding proteinsthat,gene,['NCBIGene:2690']
435,albumin,gene,['NCBIGene:213']
436,thyroxine-binding globulin,gene,['NCBIGene:6906']
437,TH,gene,['NCBIGene:7054']
438,thyroid,disease,['mesh:D013959']
439,Calcineurin,gene,['NCBIGene:5534']
440,Immunosuppression,disease,['mim:146850']
441,CN,gene,['NCBIGene:4934']
442,phosphatase,gene,['NCBIGene:5504']
443,CN phosphatase,gene,['NCBIGene:1267']
444,graft versus host disease,disease,['mesh:D006086']
445,autoimmune and allergic disorders,disease,"['mesh:D001327', 'mim:109100']"
446,psoriasis,disease,"['mim:177900', 'mesh:D011565']"
447,atopic dermatitis,disease,['mesh:D003876']
448,TDAR,gene,['NCBIGene:10656']
449,immunophilins,gene,['NCBIGene:2288']
450,NFAT,gene,['NCBIGene:4773']
451,NFAT complexes,gene,['NCBIGene:4772']
452,activator protein-1,gene,['NCBIGene:2354']
453,IL-2,gene,['NCBIGene:3558']
454,IL-4,gene,['NCBIGene:3565']
455,FK506,chemical,['mesh:D016559']
456,FKBP12,gene,['NCBIGene:2282']
457,cyclophilin,gene,['NCBIGene:85313']
458,CsA,chemical,['CHEBI:55379']
459,triiodothyronine,chemical,['mesh:D014284']
460,hydrogen peroxide,chemical,['mesh:D006861']
461,DIO1,gene,['NCBIGene:1733']
462,DIO2,gene,['NCBIGene:1734']
463,sarcomas,disease,['mesh:D012509']
464,PPARgamma-related sarcomas,disease,['mesh:D008080']
465,Beta-2,gene,['NCBIGene:10242']
466,mesovarian leiomyomas,disease,['mesh:C537006']
467,Beta-,gene,['NCBIGene:1748']
468,ovarian adenomas,disease,"['mesh:D010051', 'mim:167000']"
469,granular cell tumors,disease,['mesh:D016586']
470,Antiestrogens,chemical,['mesh:D020847']
471,pancreatic acinar tumors,disease,['mesh:D007516']
472,GnRH,gene,['NCBIGene:2796']
473,mammary adenomas,disease,"['mim:114480', 'mesh:D001943']"
474,pituitary adenomas,disease,['mesh:D010911']
475,pleural/peritoneal mesotheliomas,disease,['mesh:D000086002']
476,mesotheliomas,disease,['mesh:D008654']
477,thyroglobulin,gene,['NCBIGene:7038']
478,tyrosyl,chemical,['CHEBI:32789']
479,iodothyronine,chemical,['CHEBI:24864']
480,DIO2 AOP,gene,['NCBIGene:84734']
481,THR,gene,['NCBIGene:7069']
482,methimazole,chemical,['mesh:D008713']
483,6-propylthiouracil,chemical,['CHEBI:8502']
484,2-mercaptobenzothiazole,chemical,['mesh:C005563']
485,benzophenone-2,chemical,['mesh:C035476']
486,tyrosine,chemical,['mesh:D014443']
487,tyrosines,chemical,['CHEBI:18186']
488,DIO2 pAOPs,gene,['NCBIGene:1136']
489,TR,gene,"['NCBIGene:7037', '2149', '7012', '7296', '23671', '10587']"
490,perchlorate,chemical,['mesh:C494474']
491,COX1,gene,['NCBIGene:4512']
492,Nosema infection,disease,['mesh:D009668']
493,vitamin K epoxide,chemical,['mesh:C016186']
494,vitamin K epoxide reductase,gene,['NCBIGene:79001']
495,coagulopathy,disease,['mesh:D001778']
496,hemorrhage,disease,['mesh:D006474']
497,Iodotyrosine,chemical,['mesh:D007470']
498,Iodotyrosine deiodinase,gene,['NCBIGene:389434']
499,IYD,disease,['mesh:C535531']
500,MIT,chemical,['CHEBI:27847']
501,diiodotyrosine,chemical,['CHEBI:15768']
502,goiter,disease,['mesh:D006042']
503,polybrominated diphenyl ethers,chemical,['mesh:D055768']
504,"5,3-triiodothyronine",chemical,['CHEBI:18258']
505,rT3,chemical,['CHEBI:11684']
506,T3 insufficiency,disease,['mesh:D005067']
507,iopanoic acid,chemical,['mesh:D007480']
508,DIO2,chemical,['mesh:C081554']
509,Type III iodotyrosine deiodinase,gene,['NCBIGene:1735']
510,"3,5-triiodothyronine",chemical,['CHEBI:28774']
511,rT3 insufficiency,disease,"['mim:300523', 'mesh:C537047']"
512,DIO3,chemical,['mesh:C098044']
513,Pendrin,gene,['NCBIGene:5172']
514,Dual oxidase,gene,['NCBIGene:53905']
515,TRPA1 Receptor,gene,['NCBIGene:8989']
516,hydrochloric acid,chemical,['mesh:D006851']
517,chlorine,chemical,['mesh:D002713']
518,ammonia,chemical,['mesh:D000641']
519,nasal obstruction,disease,['mesh:D015508']
520,sneezing,disease,['mesh:D012912']
521,coughing,disease,['mesh:D003371']
522,inflammation of the trachea,disease,['mesh:D014136']
523,bronchiolitis,disease,['mesh:D001988']
524,irritation,disease,['mesh:D064420']
525,TRP receptors,gene,['NCBIGene:7220']
526,Sodium channel,gene,['NCBIGene:6335']
527,JHR,gene,['NCBIGene:148738']
528,ED,disease,"['mesh:D004535', 'mim:130050']"
529,methyl farnesoate,chemical,['mesh:C032429']
530,methoprene,chemical,['mesh:D008726']
531,Met,gene,"['NCBIGene:4233', '8731']"
532,doublesex genes,gene,['NCBIGene:10655']
533,lung fibrosis,disease,['mesh:D011658']
534,respiratory disease,disease,['mesh:D012120']
535,transforming growth factor,gene,['NCBIGene:7039']
536,Smad3,gene,['NCBIGene:4088']
537,fibrillar and non-fibrillar collagens,gene,['NCBIGene:2091']
538,rho,gene,['NCBIGene:6010']
539,ROCK,gene,['NCBIGene:6093']
540,actin,gene,"['NCBIGene:148709', '402221']"
541,scarring,disease,['mesh:D002921']
542,NADPH oxidase,gene,['NCBIGene:27035']
543,P38 MAPK,gene,['NCBIGene:1432']
544,AO,disease,"['mim:256050', 'mesh:C535395']"
545,Silver,chemical,['mesh:D012834']
546,bli-3,gene,['NCBIGene:3486']
547,pmk-1,gene,['NCBIGene:10654']
548,fmo-2,gene,['NCBIGene:2327']
549,cyp35a2,gene,['NCBIGene:100128781']
550,sod-3,gene,['NCBIGene:6649']
551,nth-,gene,['NCBIGene:4913']
552,Janus kinase,gene,['NCBIGene:3716']
553,Signal transducer and activator of transcription,gene,['NCBIGene:6772']
554,STAT,gene,['NCBIGene:6646']
555,Titanium dioxide,chemical,['mesh:C009495']
556,TiO2NPs,chemical,['CHEBI:51050']
557,TiO2,chemical,['CHEBI:32234']
558,sterol regulatory element binding transcription factor 2,gene,['NCBIGene:6721']
559,glutathione synthetase,gene,['NCBIGene:2937']
560,S,chemical,['CHEBI:29832']
561,GSTA1,gene,['NCBIGene:2938']
562,GSTA2,gene,['NCBIGene:2939']
563,GSTA3,gene,['NCBIGene:2940']
564,GSTA5,gene,['NCBIGene:221357']
565,unsaturated fatty acid,chemical,['mesh:D005231']
566,c-Jun N-terminal kinase,gene,['NCBIGene:5599']
567,N,chemical,['CHEBI:25555']
568,Forkhead box O,gene,['NCBIGene:2308']
569,FOXO,gene,['NCBIGene:2309']
570,WNT,gene,['NCBIGene:7471']
571,graphene oxide,chemical,['mesh:C000628730']
572,DAF,gene,['NCBIGene:1604']
