AOP,ID,s.name,Stressor
Uncoupling of oxidative phosphorylation leading to  growth inhibition via decreased cell proliferation,263,adenosine triphosphate,[mesh:D000255]
Uncoupling of oxidative phosphorylation leading to  growth inhibition via decreased cell proliferation,263,adenosine diphosphate,[mesh:D000244]
Uncoupling of oxidative phosphorylation leading to  growth inhibition via decreased cell proliferation,263,ADP,[CHEBI:73342]
Decreased DNA methylation of FAM50B/PTCHD3 leading to IQ loss of children via PI3K-Akt pathway,569,arsenic,[mesh:D001151]
Decreased DNA methylation of FAM50B/PTCHD3 leading to IQ loss of children via PI3K-Akt pathway,569,gasoline,[mesh:D005742]
Mitochondrial complex inhibition leading to liver injury,273,ATP,[CHEBI:30616]
"Binding of plastoquinone B leading to decrease, population growth rate via decrease, photosystem II efficiency",567,plastoquinone B,[CHEBI:28377]
Glucocorticoid Receptor Agonism Leading to Impaired Fin Regeneration,334,Estrogen,[mesh:D004967]
Glucocorticoid Receptor Agonism Leading to Impaired Fin Regeneration,334,steroid,[mesh:D013256]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,dopamine,[mesh:D004298]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,GABA,[mesh:D005680]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,chloride,[CHEBI:15767]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,serotonin,[CHEBI:350546]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,Sodium,[mesh:D012964]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,potassium,[mesh:D011188]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,5-hydroxytryptamine,[mesh:D012701]
"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",568,norepinephrine,[CHEBI:33569]
Excessive reactive oxygen species leading to growth inhibition via oxidative DNA damage and reduced cell proliferation,331,Oxygen,[mesh:D010100]
Inhibition of thyroid peroxidase leading to impaired fertility in fish,271,VTG,[mesh:D020888]
Excessive reactive oxygen species leading to growth inhibition via lipid peroxidation and reduced cell proliferation,332,Oxygen,[mesh:D010100]
Elevated ATP demand for detoxification and repair mechanisms leading to impaired locomotor activity,270,Oxygen,[mesh:D010100]
Elevated ATP demand for detoxification and repair mechanisms leading to impaired locomotor activity,270,ATP,[CHEBI:30616]
Excessive reactive oxygen species leading to growth inhibition via uncoupling of oxidative phosphorylation,333,Oxygen,[mesh:D010100]
"Inhibition, cytochrome oxidase leads to Loss of olfactory function",574,ATP,[CHEBI:30616]
"Inhibition, cytochrome oxidase leads to Loss of olfactory function",574,hydrogen sulfide,[mesh:D006862]
"Inhibition, cytochrome oxidase leads to Loss of olfactory function",574,potassium cyanide,[mesh:D011190]
"Inhibition, cytochrome oxidase leads to Loss of olfactory function",574,sodium azide,[mesh:D019810]
"Inhibition, cytochrome oxidase leads to Increased, pulmonary edema",573,ATP,[CHEBI:30616]
"Inhibition, cytochrome oxidase leads to Increased, pulmonary edema",573,hydrogen sulfide,[mesh:D006862]
"Inhibition, cytochrome oxidase leads to Increased, pulmonary edema",573,potassium cyanide,[mesh:D011190]
"Inhibition, cytochrome oxidase leads to Increased, pulmonary edema",573,sodium azide,[mesh:D019810]
BMP4 Suppression Disrupting Cytoskeletal Remodeling Leading to Neural Tube Closure Defects,572,neonicotinoid,[mesh:D000073943]
BMP4 Suppression Disrupting Cytoskeletal Remodeling Leading to Neural Tube Closure Defects,572,imidacloprid,[mesh:C082359]
Excessive reactive oxygen species production leading to mortality (1),327,Oxygen,[mesh:D010100]
Uncoupling of oxidative phosphorylation leading to growth inhibition via glucose depletion,267,Oxygen,[mesh:D010100]
Uncoupling of oxidative phosphorylation leading to growth inhibition via glucose depletion,267,glucose,[CHEBI:42758]
Excessive reactive oxygen species production leading to mortality (2),328,Oxygen,[mesh:D010100]
Uncoupling of oxidative phosphorylation leading to growth inhibition via mitochondrial swelling,268,Oxygen,[mesh:D010100]
Excessive reactive oxygen species production leading to mortality (3),329,Oxygen,[mesh:D010100]
Transthyretin disruption in developing fish leading to projected decline in fish population,579,PFOS,[CHEBI:39421]
Transthyretin disruption in developing fish leading to projected decline in fish population,579,polybrominated diphenyl ethers,[mesh:D055768]
Transthyretin disruption in developing fish leading to projected decline in fish population,579,TBBPA,[mesh:C020806]
Transthyretin disruption in developing fish leading to projected decline in fish population,579,polychlorinated biphenyls,[CHEBI:53156]
Transthyretin disruption in developing fish leading to projected decline in fish population,579,PFAS,[CHEBI:53371]
Elevated ATP demand for detoxification and repair mechanisms leading to impaired growth and development,269,ATP,[CHEBI:30616]
Excessive reactive oxygen species production leading to mortality (4),330,Oxygen,[mesh:D010100]
Decreased testosterone synthesis leading to increased nipple retention (NR) in male (rodent) offspring,575,testosterone,[mesh:D013739]
Excessive reactive oxygen species leading to growth inhibition via protein oxidation and cell death,326,Oxygen,[mesh:D010100]
Excessive reactive oxygen species leading to growth inhibition via protein oxidation and cell death,326,superoxide,[mesh:D013481]
Excessive reactive oxygen species leading to growth inhibition via protein oxidation and cell death,326,hydrogen peroxide,[mesh:D006861]
Excessive reactive oxygen species leading to growth inhibition via protein oxidation and cell death,326,adenine,[mesh:D000225]
Excessive reactive oxygen species leading to growth inhibition via protein oxidation and cell death,326,8-oxoG,[mesh:C046215]
Excessive reactive oxygen species leading to growth inhibition via protein oxidation and cell death,326,8-oxoguanine,[CHEBI:44605]
Excessive reactive oxygen species leading to growth inhibition via protein oxidation and cell death,326,hydroxyl,[mesh:D017665]
AOP for urothelial carcinogenesis due to chemical cytotoxicity by mitochondrial impairment,335,diuron,[mesh:D004237]
Inhibition of complex I of the electron transport chain leading to chemical induced Fanconi syndrome,276,ATP,[CHEBI:30616]
Inhibition of complex I of the electron transport chain leading to chemical induced Fanconi syndrome,276,Sodium,[mesh:D012964]
Inhibition of complex I of the electron transport chain leading to chemical induced Fanconi syndrome,276,potassium,[mesh:D011188]
Histone deacetylase inhibition leads to impeded craniofacial development,274,valproic acid,[CHEBI:39867]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress leads to chronic kidney disease,284,SH,[CHEBI:73651]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress leads to chronic kidney disease,284,thiol,[mesh:D013438]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress leads to chronic kidney disease,284,seleno,[CHEBI:16503]
Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress leads to chronic kidney disease,284,(,[mesh:C060185]
Androgen receptor (AR) antagonism leading to nipple retention (NR) in male (mammalian) offspring,344,Androgen,[mesh:D000728]
Androgen receptor (AR) antagonism leading to nipple retention (NR) in male (mammalian) offspring,344,5-alpha-dihydrotestosterone,[mesh:D013196]
Androgen receptor (AR) antagonism leading to nipple retention (NR) in male (mammalian) offspring,344,testosterone,[mesh:D013739]
Inhibition of N-linked glycosylation leads to liver injury,285,N,[CHEBI:25555]
Androgen receptor (AR) antagonism leading to decreased fertility in females,345,Androgen,[mesh:D000728]
α-diketone-induced bronchiolitis obliterans,280,arginine,[mesh:D001120]
α-diketone-induced bronchiolitis obliterans,280,diacetyl,[mesh:D003931]
α-diketone-induced bronchiolitis obliterans,280,diketone,[CHEBI:46640]
S-adenosylmethionine depletion leading to population decline (1),342,S-adenosylmethionine,[CHEBI:67040]
Acetylcholinesterase Inhibition Leading to Neurodegeneration,281,acetylcholine,[mesh:D000109]
Acetylcholinesterase Inhibition Leading to Neurodegeneration,281,Carbamate,[CHEBI:28616]
Acetylcholinesterase Inhibition Leading to Neurodegeneration,281,Calcium,[mesh:D002118]
Acetylcholinesterase Inhibition Leading to Neurodegeneration,281,organophosphate,[mesh:D010755]
L-type calcium channel blockade leading to hypotension,283,Calcium,[mesh:D002118]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,testosterone,[mesh:D013739]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,11 beta -hydroxytestosterone,[mesh:C037914]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,eomidate,[mesh:C014539]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,11-deoxycortisol,[mesh:D003350]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,lysodren,[mesh:D008939]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,11-KT,[mesh:C016531]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,metyrapone,[mesh:D008797]
Inhibition of 11β-hydroxylase leading to decresed population trajectory,349,cortisol,[mesh:D006854]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,Estrogen,[mesh:D004967]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,C19,[CHEBI:32928]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,C18,[mesh:D044243]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,Androgen,[mesh:D000728]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,testosterone,[mesh:D013739]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,fadrozole,[mesh:D017316]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,exemestane,[mesh:C056516]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,steroid,[mesh:D013256]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,17-estradiol,[CHEBI:17160]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,propiconazole,[mesh:C045950]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,letrozole,[mesh:D000077289]
Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,346,prochloraz,[mesh:C045362]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,Androgen,[mesh:D000728]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,11-Hydroxysteroid,[CHEBI:36841]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,NAD+,[CHEBI:15846]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,cortisone,[mesh:D003348]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,11 beta -hydroxytestosterone,[mesh:C037914]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,corticosteroid,[mesh:D000305]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,11-KT,[mesh:C016531]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,cortisol,[mesh:D006854]
Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory,348,11-Ketotestosterone,[mesh:C003600]
Mitochondrial ATP synthase antagonism leading to growth inhibition (1),290,ATP,[CHEBI:30616]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,Estrogen,[mesh:D004967]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,Androgen,[mesh:D000728]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,5-alpha-dihydrotestosterone,[mesh:D013196]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,testosterone,[mesh:D013739]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,3-diol,[CHEBI:23824]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,3-oxo-5-steroid,[CHEBI:47907]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,3-oxo-&Delta;4-steroid,[CHEBI:47909]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,steroid,[mesh:D013256]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,finasteride,[mesh:D018120]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,dutasteride,[mesh:D000068538]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,epristeride,[mesh:C072547]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,3-androstanediol,[CHEBI:36713]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,17-estradiol,[CHEBI:17160]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,androstenedione,[mesh:D000735]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,progesterone,[mesh:D011374]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,cortisol,[mesh:D006854]
Inhibition of 5α-reductase leading to impaired fecundity in female fish,289,aldosterone,[mesh:D000450]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,Androgen,[mesh:D000728]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,5-alpha-dihydrotestosterone,[mesh:D013196]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,testosterone,[mesh:D013739]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,17-OH-pregnenolone,[mesh:D006907]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,17-OH-progesterone,[CHEBI:17252]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,androstenediol,[mesh:D015114]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,dehydroepiandrosterone,[mesh:D003687]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,steroid,[mesh:D013256]
"Inhibition of 17α-hydrolase/C 10,20-lyase (Cyp17A1) activity leads to birth reproductive defects (cryptorchidism) in male (mammals)",288,conazoles,[CHEBI:60593]
Immune mediated hepatitis,362,acylglucuronide,[mesh:C066070]
Immune mediated hepatitis,362,diclofenac,[mesh:D004008]
Immune mediated hepatitis,362,quinone imine,[CHEBI:50193]
Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure,363,THSDCs,[CHEBI:39330]
Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure,363,thyroxine,[CHEBI:305790]
Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure,363,retinoic acid,[CHEBI:26536]
Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure,363,morpholino,[mesh:D060172]
Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure,363,triiodothyronine,[mesh:D014284]
Chitin synthase 1 inhibition leading to mortality,360,GlcNAc,[CHEBI:73685]
Chitin synthase 1 inhibition leading to mortality,360,N-acetylglucosamine,[CHEBI:59640]
Chitin synthase 1 inhibition leading to mortality,360,uridine diphosphate,[mesh:D014530]
Sulfonylureareceptor binding leading to mortality,361,Sulfonylureareceptor,[CHEBI:26831]
Inhibition of tyrosinase leads to decreased population in fish,292,L DOPA quinone,[CHEBI:57924]
Inhibition of tyrosinase leads to decreased population in fish,292,TYR,[CHEBI:46857]
Inhibition of tyrosinase leads to decreased population in fish,292,DOPAquinone,[mesh:C035157]
Cytochrome oxidase inhibition leading to increased nasal lesions,368,ATP,[CHEBI:30616]
Cytochrome oxidase inhibition leading to increased nasal lesions,368,hydrogen sulfide,[mesh:D006862]
Cytochrome oxidase inhibition leading to increased nasal lesions,368,potassium cyanide,[mesh:D011190]
Cytochrome oxidase inhibition leading to increased nasal lesions,368,sodium azide,[mesh:D019810]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,4-biphenyl carboxylic acid,[CHEBI:31597]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,Bisdiamine,[mesh:C002491]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,Nitrofen,[mesh:C007350]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,retinol,[mesh:D014801]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,retinoic acid,[CHEBI:26536]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,RA,[CHEBI:33325]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,Diethylaminobenzaldehyde,[mesh:C055506]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,retinoid,[CHEBI:4913]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,Paclobutrazol,[mesh:C053370]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,retinaldehyde,[mesh:D012172]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,Disulphiram,[mesh:D004221]
Inhibition of retinaldehyde dehydrogenase leads to population decline,297,Citral,[CHEBI:23316]
Increase in reactive oxygen species (ROS) leading to human treatment-resistant gastric cancer via chronic ROS,298,Oxygen,[mesh:D010100]
Androgen receptor antagonism leading to testicular cancer,372,Androgen,[mesh:D000728]
Decreased testosterone synthesis leading to short anogenital distance (AGD) in male (mammalian) offspring,307,Androgen,[mesh:D000728]
Decreased testosterone synthesis leading to short anogenital distance (AGD) in male (mammalian) offspring,307,5-alpha-dihydrotestosterone,[mesh:D013196]
Decreased testosterone synthesis leading to short anogenital distance (AGD) in male (mammalian) offspring,307,testosterone,[mesh:D013739]
Decreased testosterone synthesis leading to short anogenital distance (AGD) in male (mammalian) offspring,307,cholesterol,[mesh:D002784]
Luteinizing hormone receptor antagonism leading to reproductive dysfunction,309,pregnenolone,[mesh:D011284]
Luteinizing hormone receptor antagonism leading to reproductive dysfunction,309,progesterone,[mesh:D011374]
Luteinizing hormone receptor antagonism leading to reproductive dysfunction,309,cholesterol,[mesh:D002784]
Aryl hydrocarbon receptor activation leading to impaired lung function through AHR-ARNT toxicity pathway,418,aryl hydrocarbon,[mesh:D006841]
5α-reductase inhibition leading to short anogenital distance (AGD) in male (mammalian) offspring,305,Androgen,[mesh:D000728]
5α-reductase inhibition leading to short anogenital distance (AGD) in male (mammalian) offspring,305,5-alpha-dihydrotestosterone,[mesh:D013196]
5α-reductase inhibition leading to short anogenital distance (AGD) in male (mammalian) offspring,305,testosterone,[mesh:D013739]
Androgen receptor (AR) antagonism leading to short anogenital distance (AGD) in male (mammalian) offspring,306,Androgen,[mesh:D000728]
Androgen receptor (AR) antagonism leading to short anogenital distance (AGD) in male (mammalian) offspring,306,5-alpha-dihydrotestosterone,[mesh:D013196]
